Label,Value,Active
Automotive Services,automotive_services,
Building & Construction,building_and_construction,
Care Services,care_services,
Catering & Events Services,catering_and_events_services,
Cleaning Services,cleaning_services,
Computer & IT Services,computer_and_it_services,
Education,education,
Entertainment Services,entertainment_services,
Fitness & Personal Training Services,fitness_and_personal_training_services,
Health & Beauty Services,health_and_beauty_services,
Landscaping and Gardening Services,landscaping_and_gardening_services,
Legal Services,legal_services,
Manufacturing Services,manufacturing_services,
Media Services,media_services,
Pet Services,pet_services,
Photography & Video Services,photography_and_video_services,
Printing Services,printing_services,
Recruitment Services,recruitment_services,
Rental Services,rental_services,
Repair Services,repair_services,
Tax & Financial Services,tax_and_financial_services,
"Transport, Cargo & Logistics Services",transport_cargo_and_logistics_services,
Travel Agents & Tours,travel_agents_and_tours,
Others,others,
